"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","2.307135","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","3.231044","0","6"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","60","6","2","93.860367","0","513"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","21.728786","0","70"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","2","1","4.804537","0","14"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","9","8","229.234039","0","1920"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","4.577422","0","9"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","374","5","1","334.598969","0","64030"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","3","1","10.448277","0","74"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","2","1","3.270746","0","11"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","138.707428","0","3278"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","6.168911","0","32"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","2","1","3.702671","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","3.334051","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","5.331885","0","30"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","1","1","4.738053","0","23"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","3.818282","0","15"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","3.896210","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","30.265299","0","165"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","14.027390","0","67"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","1","1","129.163605","96","1929"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","4.150729","0","5"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","1","1","38.784786","0","296"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","1","1","39.742077","0","386"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","38.507980","0","380"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","28.284554","0","260"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","1","1","5.177578","0","34"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","2","2","37.719337","0","332"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","6.783747","0","40"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","6.071253","0","44"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","8.866687","0","22"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","3.343410","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","6.650473","0","17"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","6","6","41.536270","5","357"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","1","1","217.013992","0","525"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","6.610400","0","53"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","1","1","91.187943","0","1597"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","1","1","156.317032","0","2423"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","1","1","623.759888","0","41209"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","26.977488","0","333"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","3.744260","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","3.869429","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","1","1","158.458160","0","3505"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","15.377086","0","94"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","3.779914","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","127.600952","0","1170"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","83.394989","0","772"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","15","1","1","12.609479","0","86"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","16.046673","0","86"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","1","1","19.292418","0","111"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","184.285477","0","206"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","2","2","26.632324","0","230"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","1","1","17.309340","0","71"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","1","1","14.783849","0","87"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","16.051472","0","79"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","16.610680","0","107"
